Amílcar Cabral International Airport,SID,20.0
Aalborg Airport,AAL,20.0
Gothenburg City Airport,GSE,20.0
Kilimanjaro International Airport,JRO,20.0
Ralph Wien Memorial Airport,OTZ,20.0
Wichita Eisenhower National Airport,ICT,20.0
Genoa Cristoforo Colombo Airport,GOA,20.0
M. R. Štefánik Airport,BTS,20.0
Chelyabinsk Balandino Airport,CEK,20.0
Esfahan Shahid Beheshti International Airport,IFN,20.0
Manchester-Boston Regional Airport,MHT,20.0
Blue Grass Airport,LEX,20.0
Lomé-Tokoin Airport,LFW,20.0
Hosea Kutako International Airport,WDH,19.0
Bandar Abbas International Airport,BND,19.0
Hewanorra International Airport,UVF,19.0
Graz Airport,GRZ,19.0
Kaunas International Airport,KUN,19.0
Bournemouth Airport,BOH,19.0
Roland Garros Airport,RUN,19.0
Nairobi Wilson Airport,WIL,19.0
Zhanjiang Airport,ZHA,19.0
Leite Lopes Airport,RAO,19.0
Ibn Batouta Airport,TNG,19.0
Reus Air Base,REU,19.0
Santander Airport,SDR,19.0
Almería International Airport,LEI,18.0
Nador International Airport,NDR,18.0
Saïss Airport,FEZ,18.0
Guernsey Airport,GCI,18.0
Kalibo International Airport,KLO,18.0
Pointe Noire Airport,PNR,18.0
Conakry International Airport,CKY,18.0
Long Beach /Daugherty Field/ Airport,LGB,18.0
Bob Hope Airport,BUR,18.0
Shubuling Airport,LYI,18.0
Yiwu Airport,YIW,18.0
Yangzhou Taizhou Airport,YTY,18.0
Iqaluit Airport,YFB,18.0
Nizhny Novgorod Strigino International Airport,GOJ,18.0
Odessa International Airport,ODS,18.0
Dongshan Airport,HLD,18.0
Bodø Airport,BOO,18.0
Toncontín International Airport,TGU,18.0
Silvio Pettirossi International Airport,ASU,18.0
Chaudhary Charan Singh International Airport,LKO,18.0
Charlotte County Airport,PGD,18.0
Jackson-Medgar Wiley Evers International Airport,JAN,18.0
Huntsville International Carl T Jones Field,HSV,18.0
Senai International Airport,JHB,18.0
Sultan Syarif Kasim Ii (Simpang Tiga) Airport,PKU,18.0
Samui Airport,USM,18.0
Sioux Lookout Airport,YXL,18.0
Long Island Mac Arthur Airport,ISP,17.0
Dane County Regional Truax Field,MSN,17.0
